Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
1992,61,3,Arizona,0.57,0.56,0.51,1516276,1486975,2671933,2897181,0.07,16477,34647,3588,37389,
1992,42,4,Arkansas,,0.54,0.53,,950653,1751083,1789420,0.01,8285,16448,3460,19969,
1992,71,5,California,0.62,0.6,0.49,11374565,11131721,18460157,22573381,0.17,109496,0,87725,197221,
1992,62,6,Colorado,0.64,0.63,0.6,1597166,1569180,2494998,2602217,0.04,8997,0,2634,11631,
1992,1,7,Connecticut,0.7,0.69,0.64,1645609,1616332,2356937,2521774,0.05,11403,48567,483,36170,
1992,11,8,Delaware,0.58,0.58,0.55,290836,289735,499266,523661,0.02,4062,14887,1120,12626,
1992,55,9,District of Columbia,0.54,0.53,0.48,231445,227572,427102,477564,0.08,10845,0,0,10845,
1992,43,10,Florida,0.57,0.56,0.5,5438612,5314392,9506230,10591116,0.09,48302,200471,14021,162559,
1992,44,11,Georgia,,0.49,0.46,,2311253,4766958,5037354,0.03,25290,153154,23020,124887,
1992,82,12,Hawaii,0.48,0.47,0.43,382882,372842,795148,866114,0.08,2926,0,0,2926,
1992,63,13,Idaho,0.67,0.66,0.64,491725,482142,734855,756119,0.03,2256,0,0,2256,
1992,21,14,Illinois,0.64,0.62,0.58,5164357,5050157,8113900,8688184,0.06,31640,0,0,31640,
1992,22,15,Indiana,0.56,0.55,0.55,2347912,2305871,4162678,4230602,0.01,13945,0,0,13945,
1992,31,16,Iowa,0.66,0.66,0.65,1360856,1354607,2057690,2098809,0.01,4518,14084,2065,13625,
1992,32,17,Kansas,0.64,0.64,0.62,1161044,1157335,1810750,1857444,0.02,6028,0,0,6028,
1992,51,18,Kentucky,,0.54,0.53,,1492900,2772600,2814763,0.01,10364,10750,3684,19423,
1992,45,19,Louisiana,0.6,0.6,0.58,1799596,1790017,2997301,3063068,0.02,20980,0,0,20980,
1992,2,20,Maine,,0.74,0.73,,679499,915082,928998,0.02,0,0,0,0,
1992,52,21,Maryland,0.58,0.58,0.54,1999486,1985046,3440015,3695298,0.05,19977,82948,13058,74509,
1992,3,22,Massachusetts,0.65,0.64,0.6,2822962,2773700,4346897,4640629,0.06,0,0,0,0,
1992,23,23,Michigan,0.64,0.63,0.61,4341909,4274673,6786593,6990822,0.02,39113,0,0,39113,
1992,33,24,Minnesota,0.74,0.74,0.71,2355796,2347948,3187255,3298080,0.02,3822,72938,1901,42192,
1992,46,25,Mississippi,0.54,0.53,0.52,1008019,981793,1854797,1882100,0.01,8905,8031,2357,15278,
1992,34,26,Missouri,,0.63,0.62,,2391565,3792675,3880005,0.01,16195,32692,11671,44212,
1992,64,27,Montana,0.7,0.69,0.69,417564,410611,593345,599859,0.01,1548,0,0,1548,
1992,35,28,Nebraska,0.65,0.64,0.63,744548,737546,1149525,1178965,0.02,2514,15386,697,10904,
1992,65,29,Nevada,0.55,0.54,0.49,513387,506318,940066,1028056,0.07,6049,8533,3246,13562,
1992,4,30,New Hampshire,0.67,0.66,0.65,545197,537943,814160,833997,0.02,1777,0,0,1777,
1992,12,31,New Jersey,0.62,0.62,0.56,3348312,3343594,5398559,6000364,0.08,22653,108093,36120,112820,
1992,66,32,New Mexico,0.55,0.53,0.5,590901,569986,1073421,1131081,0.04,3271,6921,1331,8063,
1992,13,33,New York,0.58,0.57,0.5,7068630,6926925,12227775,13799670,0.11,61736,0,50004,111740,
1992,47,34,North Carolina,,0.51,0.5,,2611850,5077494,5259564,0.02,20454,86371,14415,78055,
1992,36,35,North Dakota,0.68,0.67,0.66,315199,308133,462631,467130,0.01,477,0,0,477,
1992,24,36,Ohio,0.63,0.61,0.6,5043094,4939967,8063595,8208502,0.01,38378,0,0,38378,
1992,53,37,Oklahoma,0.64,0.61,0.59,1455635,1390359,2293931,2366029,0.02,14821,25902,2758,30530,
1992,72,38,Oregon,0.7,0.68,0.65,1498959,1462643,2144867,2241507,0.04,6583,0,0,6583,
1992,14,39,Pennsylvania,,0.55,0.54,,4949810,9010940,9188416,0.02,24974,0,0,24974,
1992,5,40,Rhode Island,,0.63,0.58,,453471,721593,779266,0.06,2775,15585,483,11051,
1992,48,41,South Carolina,0.47,0.46,0.45,1234712,1202527,2610725,2683852,0.01,18643,35587,5325,41762,
1992,37,42,South Dakota,,0.67,0.66,,336254,503759,508841,0.01,1487,0,0,1487,
1992,54,43,Tennessee,,0.53,0.52,,1982638,3726024,3811036,0.01,11849,38614,11819,42975,
1992,49,44,Texas,,0.54,0.48,,6154018,11356487,12747860,0.08,60467,360702,121141,361959,
1992,67,45,Utah,0.68,0.64,0.62,784988,743999,1162363,1203861,0.03,0,0,0,0,
1992,6,46,Vermont,0.7,0.69,0.68,292797,289701,419810,426860,0.02,0,0,0,0,
1992,40,47,Virginia,,0.55,0.53,,2558665,4622125,4856799,0.04,21199,23510,11372,44326,
